2018-01-24__20:05:35 M  % %
2018-01-24__20:05:59 8128M  42.9% 24.5%
2018-01-24__20:06:10 8128M  42.9% 24.5%
2018-02-26__10:32:54 8128M  39.0% 23.8%
2018-02-26__10:34:14 8128M  38.7% 7.7%
2018-03-01__15:07:32 8128M  35.8% 15.1%
2018-03-01__15:07:38 8128M  35.8% 15.1%
2018-03-01__07:51:46 927M  6.6% 9.3%
2018-03-01__07:51:52 927M  6.6% 9.3%
2018-03-01__07:51:58 927M  6.6% 9.3%
2018-03-01__07:52:04 927M  6.6% 9.3%
2018-03-01__07:52:10 927M  6.6% 9.3%
2018-03-01__07:52:16 927M  6.6% 9.3%
2018-03-01__07:52:22 927M  6.6% 9.3%
2018-03-01__07:52:28 927M  6.6% 9.3%
2018-03-01__07:52:34 927M  6.6% 9.3%
2018-03-01__07:52:40 927M  6.6% 9.3%
2018-03-01__07:53:05 927M  6.6% 9.3%
2018-03-01__07:53:11 927M  6.7% 9.3%
2018-03-01__07:56:01 927M  6.6% 9.3%
2018-03-01__07:56:07 927M  6.6% 9.3%
2018-03-01__07:56:13 927M  6.6% 9.3%
2018-03-01__07:56:19 927M  6.6% 9.3%
2018-03-01__07:56:25 927M  6.6% 9.3%
2018-03-01__07:56:31 927M  6.6% 9.3%
2018-03-01__07:56:37 927M  6.6% 9.3%
2018-03-01__07:56:43 927M  6.6% 9.3%
2018-03-01__07:56:49 927M  6.6% 9.3%
2018-03-01__07:56:55 927M  6.6% 9.3%
2018-03-01__07:57:01 927M  6.6% 9.3%
2018-03-01__07:57:07 927M  6.6% 9.3%
2018-03-01__07:57:13 927M  6.6% 9.3%
2018-03-01__07:57:19 927M  6.6% 9.3%
2018-03-01__08:03:51 927M  6.6% 9.3%
2018-03-01__08:03:57 927M  6.6% 9.3%
2018-03-01__08:04:03 927M  6.6% 9.3%
2018-03-01__08:04:09 927M  6.6% 9.3%
2018-03-01__08:04:15 927M  6.6% 9.3%
2018-03-01__08:04:21 927M  6.6% 9.3%
2018-03-01__08:04:27 927M  6.6% 9.3%
2018-03-01__08:04:33 927M  6.6% 9.3%
2018-03-01__08:04:38 927M  6.6% 9.3%
2018-03-01__08:06:30 927M  6.6% 9.3%
2018-03-01__08:06:36 927M  6.6% 9.3%
2018-03-01__08:06:42 927M  6.6% 9.3%
2018-03-01__08:06:48 927M  6.6% 9.3%
2018-03-01__08:06:54 927M  6.6% 9.3%
2018-03-01__08:07:00 927M  6.6% 9.3%
2018-03-01__08:07:06 927M  6.6% 9.3%
2018-03-01__08:07:12 927M  6.6% 9.3%
2018-03-01__08:18:00 927M  7.3% 9.4%
2018-03-01__08:18:06 927M  7.3% 9.4%
2018-03-01__08:18:12 927M  7.3% 9.4%
2018-03-01__08:18:18 927M  7.3% 9.4%
2018-03-01__08:18:24 927M  7.3% 9.4%
2018-03-01__08:18:30 927M  7.4% 9.4%
2018-03-01__08:18:36 927M  7.3% 9.4%
2018-03-01__08:18:42 927M  7.3% 9.4%
2018-03-01__08:18:48 927M  7.3% 9.4%
2018-03-01__08:18:54 927M  7.3% 9.4%
2018-03-01__08:19:00 927M  7.4% 9.4%
2018-03-01__08:19:06 927M  7.3% 9.4%
2018-03-01__08:19:12 927M  7.3% 9.4%
